compound, constituent, anonymized_annotator_id, rating
heart muscle, muscle, annotator_0, 5
heart muscle, heart, annotator_7, 5
heart muscle, heart, annotator_11, 5
heart muscle, muscle, annotator_2, 5
heart muscle, muscle, annotator_10_excluded, 5
heart muscle, muscle, annotator_5, 4
heart muscle, heart, annotator_9, 5
heart muscle, muscle, annotator_4, 1
heart muscle, heart, annotator_3, 5
heart muscle, heart, annotator_8, 5
heart muscle, heart, annotator_4, 4
heart muscle, muscle, annotator_13_excluded, 5
incident light, incident, annotator_13_excluded, 5
incident light, incident, annotator_5, 1
incident light, incident, annotator_3, 4
incident light, light, annotator_4, 0
incident light, incident, annotator_8, 5
incident light, incident, annotator_4, 4
incident light, incident, annotator_6, 3
incident light, incident, annotator_9, 3
incident light, incident, annotator_1, 0
incident light, incident, annotator_7, 4
incident light, incident, annotator_2, 5
incident light, incident, annotator_14, 1
incident light, incident, annotator_12, 2
incident light, incident, annotator_0, 3
incident light, light, annotator_11, 4
incident light, incident, annotator_11, 1
incident light, light, annotator_7, 4
incident light, incident, annotator_10_excluded, 5
incident light, light, annotator_2, 5
incident light, light, annotator_9, 4
incident light, light, annotator_8, 0
incident light, light, annotator_5, 4
incident light, light, annotator_13_excluded, 5
incident light, light, annotator_3, 5
incident light, light, annotator_1, 5
incident light, light, annotator_10_excluded, 5
incident light, light, annotator_14, 4
incident light, light, annotator_0, 5
incident light, light, annotator_6, 3
incident light, light, annotator_12, 4
iodine solution, solution, annotator_6, 1
iodine solution, solution, annotator_9, 5
iodine solution, solution, annotator_2, 3
iodine solution, solution, annotator_5, 3
iodine solution, solution, annotator_8, 0
iodine solution, solution, annotator_12, 4
iodine solution, iodine, annotator_5, 4
iodine solution, solution, annotator_4, 1
iodine solution, iodine, annotator_12, 4
iodine solution, iodine, annotator_6, 4
iodine solution, iodine, annotator_3, 5
iodine solution, iodine, annotator_2, 5
iodine solution, iodine, annotator_9, 3
iodine solution, iodine, annotator_10_excluded, 5
iodine solution, iodine, annotator_7, 5
iodine solution, iodine, annotator_0, 5
iodine solution, iodine, annotator_4, 4
iodine solution, iodine, annotator_1, 4
iodine solution, iodine, annotator_11, 4
iodine solution, iodine, annotator_14, 4
iodine solution, iodine, annotator_8, 5
iodine solution, iodine, annotator_13_excluded, 5
iodine solution, solution, annotator_10_excluded, 5
iodine solution, solution, annotator_3, 5
iodine solution, solution, annotator_13_excluded, 5
iodine solution, solution, annotator_14, 4
iodine solution, solution, annotator_11, 5
iodine solution, solution, annotator_0, 5
iodine solution, solution, annotator_1, 2
iodine solution, solution, annotator_7, 4
line spectrum, spectrum, annotator_11, 4
line spectrum, line, annotator_0, 5
line spectrum, spectrum, annotator_12, 4
line spectrum, spectrum, annotator_7, 4
line spectrum, spectrum, annotator_4, 2
line spectrum, line, annotator_1, 0
line spectrum, line, annotator_11, 5
line spectrum, spectrum, annotator_13_excluded, 5
line spectrum, spectrum, annotator_5, 1
line spectrum, spectrum, annotator_1, 5
line spectrum, line, annotator_4, 2
line spectrum, spectrum, annotator_6, 3
line spectrum, line, annotator_8, 0
line spectrum, line, annotator_10_excluded, 5
line spectrum, spectrum, annotator_9, 4
line spectrum, line, annotator_13_excluded, 5
line spectrum, line, annotator_7, 4
line spectrum, line, annotator_6, 3
line spectrum, line, annotator_2, 4
line spectrum, spectrum, annotator_14, 4
line spectrum, line, annotator_12, 2
line spectrum, spectrum, annotator_3, 5
line spectrum, line, annotator_3, 3
line spectrum, spectrum, annotator_10_excluded, 5
line spectrum, spectrum, annotator_8, 0
line spectrum, line, annotator_14, 1
line spectrum, spectrum, annotator_2, 4
line spectrum, line, annotator_9, 3
line spectrum, line, annotator_5, 1
line spectrum, spectrum, annotator_0, 5
metal surface, surface, annotator_14, 5
metal surface, surface, annotator_4, 4
metal surface, surface, annotator_9, 4
metal surface, surface, annotator_5, 5
metal surface, surface, annotator_10_excluded, 5
metal surface, surface, annotator_6, 4
metal surface, surface, annotator_13_excluded, 5
metal surface, surface, annotator_2, 4
metal surface, surface, annotator_0, 5
metal surface, surface, annotator_8, 5
metal surface, surface, annotator_7, 4
metal surface, surface, annotator_1, 0
metal surface, surface, annotator_11, 5
metal surface, surface, annotator_3, 5
metal surface, surface, annotator_12, 2
metal surface, metal, annotator_3, 5
metal surface, metal, annotator_12, 4
metal surface, metal, annotator_14, 5
metal surface, metal, annotator_13_excluded, 5
metal surface, metal, annotator_4, 1
metal surface, metal, annotator_5, 5
metal surface, metal, annotator_6, 5
metal surface, metal, annotator_0, 5
metal surface, metal, annotator_11, 5
metal surface, metal, annotator_2, 5
metal surface, metal, annotator_8, 5
metal surface, metal, annotator_10_excluded, 5
metal surface, metal, annotator_7, 4
metal surface, metal, annotator_9, 3
metal surface, metal, annotator_1, 5
muscle substance, muscle, annotator_1, 5
muscle substance, substance, annotator_2, 4
muscle substance, substance, annotator_10_excluded, 5
muscle substance, muscle, annotator_5, 4
muscle substance, substance, annotator_1, 3
muscle substance, substance, annotator_14, 3
muscle substance, substance, annotator_11, 1
muscle substance, substance, annotator_13_excluded, 5
muscle substance, substance, annotator_6, 2
muscle substance, substance, annotator_12, 1
muscle substance, substance, annotator_9, 3
muscle substance, substance, annotator_5, 1
muscle substance, substance, annotator_8, 5
muscle substance, substance, annotator_7, 4
muscle substance, substance, annotator_0, 5
muscle substance, substance, annotator_3, 5
muscle substance, substance, annotator_4, 1
muscle substance, muscle, annotator_2, 5
muscle substance, muscle, annotator_3, 5
muscle substance, muscle, annotator_0, 5
muscle substance, muscle, annotator_12, 2
muscle substance, muscle, annotator_10_excluded, 5
muscle substance, muscle, annotator_6, 4
muscle substance, muscle, annotator_4, 4
muscle substance, muscle, annotator_7, 5
muscle substance, muscle, annotator_14, 3
muscle substance, muscle, annotator_13_excluded, 5
muscle substance, muscle, annotator_9, 5
muscle substance, muscle, annotator_11, 3
muscle substance, muscle, annotator_8, 0
object glass, glass, annotator_3, 5
object glass, glass, annotator_13_excluded, 5
object glass, glass, annotator_0, 5
object glass, glass, annotator_7, 3
object glass, glass, annotator_6, 4
object glass, object, annotator_7, 3
object glass, glass, annotator_1, 4
object glass, glass, annotator_8, 0
object glass, glass, annotator_12, 3
object glass, glass, annotator_4, 0
object glass, glass, annotator_9, 5
object glass, glass, annotator_11, 5
object glass, glass, annotator_2, 4
object glass, glass, annotator_14, 4
object glass, glass, annotator_5, 4
object glass, object, annotator_11, 5
object glass, glass, annotator_10_excluded, 5
object glass, object, annotator_13_excluded, 5
object glass, object, annotator_9, 2
object glass, object, annotator_14, 4
object glass, object, annotator_0, 2
object glass, object, annotator_5, 0
object glass, object, annotator_6, 1
object glass, object, annotator_8, 0
object glass, object, annotator_2, 4
object glass, object, annotator_12, 1
object glass, object, annotator_3, 5
object glass, object, annotator_4, 0
object glass, object, annotator_1, 1
object glass, object, annotator_10_excluded, 4
plate glass, plate, annotator_7, 2
plate glass, plate, annotator_12, 2
plate glass, plate, annotator_8, 0
plate glass, glass, annotator_5, 5
plate glass, plate, annotator_14, 1
plate glass, glass, annotator_13_excluded, 5
plate glass, plate, annotator_6, 1
plate glass, glass, annotator_9, 4
plate glass, glass, annotator_2, 5
plate glass, glass, annotator_11, 3
plate glass, glass, annotator_10_excluded, 5
plate glass, glass, annotator_3, 5
plate glass, glass, annotator_14, 5
plate glass, glass, annotator_8, 0
plate glass, glass, annotator_7, 5
plate glass, glass, annotator_12, 4
plate glass, plate, annotator_1, 0
plate glass, glass, annotator_0, 5
plate glass, glass, annotator_6, 4
plate glass, plate, annotator_13_excluded, 0
plate glass, plate, annotator_3, 1
plate glass, glass, annotator_1, 5
plate glass, plate, annotator_11, 5
plate glass, glass, annotator_4, 0
plate glass, plate, annotator_0, 1
plate glass, plate, annotator_4, 0
plate glass, plate, annotator_2, 3
plate glass, plate, annotator_5, 1
plate glass, plate, annotator_10_excluded, 4
plate glass, plate, annotator_9, 4
ridge line, ridge, annotator_5, 1
ridge line, line, annotator_4, 1
ridge line, line, annotator_1, 4
ridge line, ridge, annotator_9, 5
ridge line, line, annotator_12, 1
ridge line, ridge, annotator_7, 5
ridge line, ridge, annotator_14, 5
ridge line, ridge, annotator_11, 3
ridge line, line, annotator_10_excluded, 5
ridge line, ridge, annotator_4, 1
ridge line, ridge, annotator_1, 4
ridge line, ridge, annotator_8, 0
ridge line, ridge, annotator_6, 2
ridge line, ridge, annotator_10_excluded, 5
ridge line, line, annotator_3, 4
ridge line, line, annotator_0, 5
ridge line, line, annotator_2, 3
ridge line, line, annotator_6, 4
ridge line, line, annotator_5, 0
ridge line, line, annotator_13_excluded, 5
ridge line, line, annotator_8, 5
ridge line, ridge, annotator_13_excluded, 5
ridge line, line, annotator_11, 3
ridge line, ridge, annotator_3, 5
ridge line, ridge, annotator_0, 5
ridge line, ridge, annotator_12, 1
ridge line, line, annotator_9, 3
ridge line, ridge, annotator_2, 4
ridge line, line, annotator_14, 4
ridge line, line, annotator_7, 3
river water, water, annotator_3, 5
river water, water, annotator_8, 5
river water, water, annotator_6, 5
river water, water, annotator_5, 4
river water, water, annotator_11, 4
river water, water, annotator_7, 4
river water, water, annotator_13_excluded, 5
river water, water, annotator_1, 4
river water, water, annotator_9, 5
river water, river, annotator_7, 5
river water, river, annotator_2, 5
river water, river, annotator_12, 4
river water, river, annotator_13_excluded, 5
river water, river, annotator_0, 5
river water, river, annotator_9, 3
river water, river, annotator_5, 2
river water, river, annotator_1, 4
river water, river, annotator_3, 5
river water, water, annotator_0, 5
river water, river, annotator_14, 4
river water, water, annotator_14, 5
river water, water, annotator_12, 4
river water, river, annotator_10_excluded, 5
river water, water, annotator_2, 5
river water, water, annotator_4, 1
river water, river, annotator_11, 5
river water, river, annotator_8, 5
river water, river, annotator_6, 5
river water, water, annotator_10_excluded, 5
river water, river, annotator_4, 4
silver wire, silver, annotator_9, 4
silver wire, silver, annotator_11, 5
silver wire, silver, annotator_5, 5
silver wire, silver, annotator_2, 5
silver wire, silver, annotator_10_excluded, 5
silver wire, wire, annotator_12, 3
silver wire, wire, annotator_1, 5
silver wire, wire, annotator_7, 4
silver wire, wire, annotator_13_excluded, 5
silver wire, wire, annotator_3, 5
silver wire, wire, annotator_14, 5
silver wire, wire, annotator_8, 5
silver wire, wire, annotator_5, 5
silver wire, wire, annotator_2, 5
silver wire, silver, annotator_14, 5
silver wire, wire, annotator_4, 4
silver wire, wire, annotator_6, 5
silver wire, wire, annotator_10_excluded, 5
silver wire, wire, annotator_9, 4
silver wire, wire, annotator_0, 5
silver wire, silver, annotator_13_excluded, 5
silver wire, silver, annotator_1, 1
silver wire, silver, annotator_3, 5
silver wire, silver, annotator_8, 0
silver wire, silver, annotator_0, 5
silver wire, silver, annotator_4, 4
silver wire, wire, annotator_11, 5
silver wire, silver, annotator_7, 4
silver wire, silver, annotator_12, 4
silver wire, silver, annotator_6, 4
sodium light, light, annotator_12, 4
sodium light, light, annotator_5, 2
sodium light, light, annotator_14, 1
sodium light, light, annotator_6, 3
sodium light, light, annotator_0, 5
sodium light, sodium, annotator_0, 5
sodium light, light, annotator_1, 5
sodium light, light, annotator_13_excluded, 0
sodium light, light, annotator_3, 5
sodium light, light, annotator_9, 4
sodium light, light, annotator_2, 5
sodium light, light, annotator_8, 0
sodium light, light, annotator_7, 3
sodium light, light, annotator_10_excluded, 5
sodium light, sodium, annotator_1, 5
sodium light, sodium, annotator_12, 2
sodium light, sodium, annotator_14, 1
sodium light, sodium, annotator_2, 5
sodium light, sodium, annotator_5, 1
sodium light, sodium, annotator_3, 3
sodium light, sodium, annotator_8, 5
sodium light, sodium, annotator_9, 2
sodium light, sodium, annotator_10_excluded, 5
sodium light, sodium, annotator_4, 4
sodium light, sodium, annotator_6, 4
sodium light, sodium, annotator_13_excluded, 5
sodium light, light, annotator_4, 1
sodium light, light, annotator_11, 0
sodium light, sodium, annotator_11, 1
sodium light, sodium, annotator_7, 4
sodium salt, sodium, annotator_14, 5
sodium salt, salt, annotator_13_excluded, 5
sodium salt, salt, annotator_12, 4
sodium salt, sodium, annotator_3, 5
sodium salt, salt, annotator_4, 4
sodium salt, salt, annotator_0, 5
sodium salt, sodium, annotator_4, 4
sodium salt, salt, annotator_6, 5
sodium salt, sodium, annotator_8, 5
sodium salt, sodium, annotator_6, 5
sodium salt, sodium, annotator_13_excluded, 5
sodium salt, salt, annotator_8, 5
sodium salt, sodium, annotator_12, 4
sodium salt, sodium, annotator_9, 3
sodium salt, sodium, annotator_7, 4
sodium salt, sodium, annotator_0, 5
sodium salt, salt, annotator_1, 3
sodium salt, sodium, annotator_1, 3
sodium salt, sodium, annotator_11, 5
sodium salt, salt, annotator_14, 5
sodium salt, sodium, annotator_2, 5
sodium salt, sodium, annotator_10_excluded, 5
sodium salt, salt, annotator_5, 5
sodium salt, salt, annotator_3, 5
sodium salt, salt, annotator_11, 5
sodium salt, salt, annotator_2, 5
sodium salt, salt, annotator_10_excluded, 5
sodium salt, sodium, annotator_5, 4
sodium salt, salt, annotator_9, 3
sodium salt, salt, annotator_7, 4
spark spectrum, spectrum, annotator_0, 5
spark spectrum, spectrum, annotator_3, 5
spark spectrum, spectrum, annotator_12, 4
spark spectrum, spectrum, annotator_6, 4
spark spectrum, spectrum, annotator_1, 3
spark spectrum, spark, annotator_11, 3
spark spectrum, spark, annotator_12, 2
spark spectrum, spark, annotator_3, 5
spark spectrum, spark, annotator_6, 1
spark spectrum, spark, annotator_0, 4
spark spectrum, spark, annotator_2, 4
spark spectrum, spark, annotator_5, 1
spark spectrum, spark, annotator_8, 0
spark spectrum, spark, annotator_4, 2
spark spectrum, spark, annotator_7, 5
spark spectrum, spark, annotator_9, 3
spark spectrum, spark, annotator_13_excluded, 5
spark spectrum, spark, annotator_14, 3
spark spectrum, spark, annotator_1, 4
spark spectrum, spark, annotator_10_excluded, 5
spark spectrum, spectrum, annotator_11, 3
spark spectrum, spectrum, annotator_2, 5
spark spectrum, spectrum, annotator_13_excluded, 5
spark spectrum, spectrum, annotator_10_excluded, 5
spark spectrum, spectrum, annotator_4, 2
spark spectrum, spectrum, annotator_14, 3
spark spectrum, spectrum, annotator_7, 4
spark spectrum, spectrum, annotator_9, 5
spark spectrum, spectrum, annotator_8, 5
spark spectrum, spectrum, annotator_5, 1
summer temperature, summer, annotator_10_excluded, 5
summer temperature, summer, annotator_0, 5
summer temperature, summer, annotator_12, 2
summer temperature, summer, annotator_2, 5
summer temperature, summer, annotator_14, 5
summer temperature, summer, annotator_6, 2
summer temperature, summer, annotator_8, 5
summer temperature, summer, annotator_13_excluded, 5
summer temperature, summer, annotator_4, 5
summer temperature, summer, annotator_5, 3
summer temperature, summer, annotator_3, 5
summer temperature, summer, annotator_11, 3
summer temperature, summer, annotator_9, 3
summer temperature, summer, annotator_1, 5
summer temperature, summer, annotator_7, 5
summer temperature, temperature, annotator_11, 3
summer temperature, temperature, annotator_4, 0
summer temperature, temperature, annotator_10_excluded, 5
summer temperature, temperature, annotator_7, 5
summer temperature, temperature, annotator_5, 4
summer temperature, temperature, annotator_6, 5
summer temperature, temperature, annotator_8, 5
summer temperature, temperature, annotator_2, 5
summer temperature, temperature, annotator_0, 5
summer temperature, temperature, annotator_13_excluded, 5
summer temperature, temperature, annotator_1, 5
summer temperature, temperature, annotator_14, 5
summer temperature, temperature, annotator_3, 5
summer temperature, temperature, annotator_9, 5
summer temperature, temperature, annotator_12, 4
surface water, water, annotator_3, 5
surface water, water, annotator_8, 0
surface water, water, annotator_1, 4
surface water, surface, annotator_5, 1
surface water, water, annotator_9, 5
surface water, surface, annotator_12, 3
surface water, surface, annotator_9, 3
surface water, surface, annotator_6, 2
surface water, surface, annotator_14, 3
surface water, surface, annotator_3, 5
surface water, surface, annotator_0, 5
surface water, surface, annotator_13_excluded, 5
surface water, surface, annotator_7, 3
surface water, surface, annotator_11, 3
surface water, surface, annotator_2, 5
surface water, surface, annotator_8, 0
surface water, surface, annotator_10_excluded, 5
surface water, water, annotator_0, 5
surface water, surface, annotator_4, 0
surface water, water, annotator_2, 5
surface water, water, annotator_13_excluded, 5
surface water, water, annotator_5, 3
surface water, water, annotator_11, 4
surface water, water, annotator_14, 3
surface water, water, annotator_7, 5
surface water, water, annotator_6, 5
surface water, water, annotator_4, 4
surface water, surface, annotator_1, 4
surface water, water, annotator_12, 4
surface water, water, annotator_10_excluded, 5
viscosity work, work, annotator_10_excluded, 4
viscosity work, work, annotator_9, 3
viscosity work, work, annotator_5, 0
viscosity work, work, annotator_1, 0
viscosity work, work, annotator_0, 2
viscosity work, work, annotator_2, 2
viscosity work, work, annotator_3, 1
viscosity work, work, annotator_8, 0
viscosity work, work, annotator_7, 2
viscosity work, work, annotator_4, 0
viscosity work, work, annotator_13_excluded, 5
viscosity work, work, annotator_11, 2
viscosity work, work, annotator_12, 1
viscosity work, work, annotator_14, 3
viscosity work, viscosity, annotator_10_excluded, 5
viscosity work, viscosity, annotator_0, 5
viscosity work, viscosity, annotator_5, 2
viscosity work, viscosity, annotator_3, 5
viscosity work, viscosity, annotator_7, 5
viscosity work, viscosity, annotator_8, 5
viscosity work, viscosity, annotator_1, 5
viscosity work, viscosity, annotator_2, 4
viscosity work, viscosity, annotator_6, 4
viscosity work, viscosity, annotator_4, 0
viscosity work, viscosity, annotator_9, 5
viscosity work, viscosity, annotator_13_excluded, 5
viscosity work, viscosity, annotator_14, 3
viscosity work, viscosity, annotator_11, 2
viscosity work, viscosity, annotator_12, 2
viscosity work, work, annotator_6, 2
acid solution, acid, annotator_15, 5
acid solution, solution, annotator_16, 5
acid solution, solution, annotator_17, 5
acid solution, solution, annotator_13_excluded, 5
acid solution, solution, annotator_18, 3
acid solution, solution, annotator_19, 4
acid solution, solution, annotator_20, 0
acid solution, solution, annotator_21, 5
acid solution, solution, annotator_22, 5
acid solution, solution, annotator_15, 0
acid solution, solution, annotator_23, 3
acid solution, solution, annotator_24, 5
acid solution, solution, annotator_25, 5
acid solution, solution, annotator_26, 4
acid solution, acid, annotator_20, 5
acid solution, acid, annotator_22, 5
acid solution, acid, annotator_18, 3
acid solution, acid, annotator_21, 5
acid solution, acid, annotator_23, 4
acid solution, acid, annotator_27, 5
acid solution, acid, annotator_16, 5
acid solution, acid, annotator_28, 4
acid solution, acid, annotator_19, 5
acid solution, acid, annotator_25, 5
acid solution, acid, annotator_26, 1
acid solution, acid, annotator_17, 5
acid solution, acid, annotator_13_excluded, 5
acid solution, acid, annotator_24, 5
acid solution, solution, annotator_28, 2
acid solution, solution, annotator_27, 5
adult form, form, annotator_16, 4
adult form, form, annotator_25, 0
adult form, form, annotator_28, 2
adult form, form, annotator_15, 4
adult form, form, annotator_17, 5
adult form, form, annotator_21, 3
adult form, form, annotator_27, 5
adult form, form, annotator_13_excluded, 5
adult form, form, annotator_26, 1
adult form, form, annotator_18, 0
adult form, form, annotator_19, 4
adult form, form, annotator_24, 5
adult form, form, annotator_20, 4
adult form, form, annotator_23, 4
adult form, form, annotator_22, 5
adult form, adult, annotator_25, 0
adult form, adult, annotator_19, 4
adult form, adult, annotator_15, 5
adult form, adult, annotator_23, 4
adult form, adult, annotator_17, 4
adult form, adult, annotator_24, 5
adult form, adult, annotator_21, 5
adult form, adult, annotator_18, 0
adult form, adult, annotator_27, 5
adult form, adult, annotator_28, 4
adult form, adult, annotator_20, 2
adult form, adult, annotator_13_excluded, 5
adult form, adult, annotator_22, 5
adult form, adult, annotator_26, 4
adult form, adult, annotator_16, 4
base line, line, annotator_24, 0
base line, line, annotator_16, 4
base line, line, annotator_15, 5
base line, line, annotator_25, 0
base line, line, annotator_20, 5
